,LastModified,Name,Available,Capacity,Open,date
57,2018-10-25 02:24:00,P01 Vrijdagmarkt,487,647,True,2018-10-25
58,2018-10-25 03:08:00,P07 Sint-Michiels,325,450,True,2018-10-25
59,2018-10-25 03:55:00,P10 Sint-Pietersplein,605,708,True,2018-10-25
60,2018-10-25 04:28:00,P10 Sint-Pietersplein,607,708,True,2018-10-25
61,2018-10-25 03:52:00,P01 Vrijdagmarkt,488,647,True,2018-10-25
62,2018-10-25 00:46:00,P04 Savaanstraat,540,540,True,2018-10-25
63,2018-10-25 03:37:00,P08 Ramen,169,266,True,2018-10-25
64,2018-10-25 04:37:00,P10 Sint-Pietersplein,606,708,True,2018-10-25
65,2018-10-25 04:36:00,P04 Savaanstraat,539,540,True,2018-10-25
66,2018-10-25 04:35:00,P08 Ramen,168,266,True,2018-10-25
67,2018-10-25 04:53:00,P10 Sint-Pietersplein,609,708,True,2018-10-25
68,2018-10-25 05:13:00,P10 Sint-Pietersplein,610,708,True,2018-10-25
69,2018-10-25 04:40:00,P01 Vrijdagmarkt,489,647,True,2018-10-25
70,2018-10-25 04:56:00,P08 Ramen,170,266,True,2018-10-25
71,2018-10-25 04:11:00,P07 Sint-Michiels,324,450,True,2018-10-25
72,2018-10-25 05:27:00,P10 Sint-Pietersplein,611,708,True,2018-10-25
73,2018-10-25 05:24:00,P01 Vrijdagmarkt,490,647,True,2018-10-25
74,2018-10-25 05:21:00,P08 Ramen,169,266,True,2018-10-25
75,2018-10-25 02:14:00,P02 Reep,397,470,True,2018-10-25
76,2018-10-25 05:36:00,P10 Sint-Pietersplein,612,708,True,2018-10-25
77,2018-10-25 05:39:00,P01 Vrijdagmarkt,491,647,True,2018-10-25
78,2018-10-25 05:35:00,P02 Reep,398,470,True,2018-10-25
79,2018-10-25 05:43:00,P07 Sint-Michiels,323,450,True,2018-10-25
80,2018-10-25 05:58:00,P01 Vrijdagmarkt,489,647,True,2018-10-25
81,2018-10-25 05:42:00,P08 Ramen,170,266,True,2018-10-25
82,2018-10-25 05:54:00,P02 Reep,397,470,True,2018-10-25
83,2018-10-25 05:48:00,P10 Sint-Pietersplein,613,708,True,2018-10-25
84,2018-10-25 06:08:00,P01 Vrijdagmarkt,491,647,True,2018-10-25
85,2018-10-25 04:46:00,P04 Savaanstraat,538,540,True,2018-10-25
86,2018-10-25 06:09:00,P08 Ramen,171,266,True,2018-10-25
87,2018-10-25 06:13:00,P02 Reep,399,470,True,2018-10-25
88,2018-10-25 06:13:00,P07 Sint-Michiels,325,450,True,2018-10-25
89,2018-10-25 06:24:00,P10 Sint-Pietersplein,615,708,True,2018-10-25
90,2018-10-25 06:24:00,P01 Vrijdagmarkt,492,647,True,2018-10-25
91,2018-10-25 06:28:00,P04 Savaanstraat,539,540,True,2018-10-25
92,2018-10-25 06:29:00,P08 Ramen,168,266,True,2018-10-25
93,2018-10-25 06:26:00,P02 Reep,398,470,True,2018-10-25
94,2018-10-25 06:44:00,P07 Sint-Michiels,325,450,True,2018-10-25
95,2018-10-25 06:41:00,P10 Sint-Pietersplein,615,708,True,2018-10-25
96,2018-10-25 06:44:00,P01 Vrijdagmarkt,495,647,True,2018-10-25
97,2018-10-25 06:43:00,P04 Savaanstraat,538,540,True,2018-10-25
98,2018-10-25 06:42:00,P08 Ramen,166,266,True,2018-10-25
99,2018-10-25 06:57:00,P07 Sint-Michiels,328,450,True,2018-10-25
100,2018-10-25 06:57:00,P10 Sint-Pietersplein,621,708,True,2018-10-25
101,2018-10-25 06:56:00,P01 Vrijdagmarkt,498,647,True,2018-10-25
102,2018-10-25 06:53:00,P04 Savaanstraat,537,540,True,2018-10-25
103,2018-10-25 06:57:00,P08 Ramen,163,266,True,2018-10-25
104,2018-10-25 06:33:00,P02 Reep,397,470,True,2018-10-25
105,2018-10-25 07:14:00,P07 Sint-Michiels,328,450,True,2018-10-25
106,2018-10-25 07:13:00,P10 Sint-Pietersplein,624,708,True,2018-10-25
107,2018-10-25 07:12:00,P01 Vrijdagmarkt,501,647,True,2018-10-25
108,2018-10-25 07:14:00,P04 Savaanstraat,526,540,True,2018-10-25
109,2018-10-25 07:14:00,P08 Ramen,166,266,True,2018-10-25
110,2018-10-25 07:14:00,P02 Reep,395,470,True,2018-10-25
111,2018-10-25 07:28:00,P07 Sint-Michiels,328,450,True,2018-10-25
112,2018-10-25 07:26:00,P10 Sint-Pietersplein,619,708,True,2018-10-25
113,2018-10-25 07:28:00,P01 Vrijdagmarkt,506,647,True,2018-10-25
114,2018-10-25 07:28:00,P04 Savaanstraat,514,540,True,2018-10-25
115,2018-10-25 07:29:00,P08 Ramen,157,266,True,2018-10-25
116,2018-10-25 07:29:00,P02 Reep,390,470,True,2018-10-25
117,2018-10-25 07:43:00,P07 Sint-Michiels,331,450,True,2018-10-25
118,2018-10-25 07:44:00,P10 Sint-Pietersplein,619,708,True,2018-10-25
119,2018-10-25 07:43:00,P01 Vrijdagmarkt,520,647,True,2018-10-25
120,2018-10-25 07:44:00,P04 Savaanstraat,510,540,True,2018-10-25
121,2018-10-25 07:43:00,P08 Ramen,154,266,True,2018-10-25
122,2018-10-25 07:44:00,P02 Reep,383,470,True,2018-10-25
123,2018-10-25 07:56:00,P07 Sint-Michiels,334,450,True,2018-10-25
124,2018-10-25 07:59:00,P10 Sint-Pietersplein,616,708,True,2018-10-25
125,2018-10-25 07:59:00,P01 Vrijdagmarkt,523,647,True,2018-10-25
126,2018-10-25 07:59:00,P04 Savaanstraat,494,540,True,2018-10-25
127,2018-10-25 07:59:00,P08 Ramen,146,266,True,2018-10-25
128,2018-10-25 07:59:00,P02 Reep,377,470,True,2018-10-25
129,2018-10-25 08:13:00,P07 Sint-Michiels,334,450,True,2018-10-25
130,2018-10-25 08:13:00,P10 Sint-Pietersplein,612,708,True,2018-10-25
131,2018-10-25 08:14:00,P01 Vrijdagmarkt,527,647,True,2018-10-25
132,2018-10-25 08:14:00,P04 Savaanstraat,460,540,True,2018-10-25
133,2018-10-25 08:14:00,P08 Ramen,138,266,True,2018-10-25
134,2018-10-25 08:14:00,P02 Reep,364,470,True,2018-10-25
135,2018-10-25 08:29:00,P07 Sint-Michiels,333,450,True,2018-10-25
136,2018-10-25 08:28:00,P10 Sint-Pietersplein,605,708,True,2018-10-25
137,2018-10-25 08:29:00,P01 Vrijdagmarkt,521,647,True,2018-10-25
138,2018-10-25 08:29:00,P04 Savaanstraat,446,540,True,2018-10-25
139,2018-10-25 08:29:00,P08 Ramen,134,266,True,2018-10-25
140,2018-10-25 08:29:00,P02 Reep,350,470,True,2018-10-25
141,2018-10-25 08:44:00,P07 Sint-Michiels,325,450,True,2018-10-25
142,2018-10-25 08:44:00,P10 Sint-Pietersplein,600,708,True,2018-10-25
143,2018-10-25 08:44:00,P01 Vrijdagmarkt,520,647,True,2018-10-25
144,2018-10-25 08:44:00,P04 Savaanstraat,424,540,True,2018-10-25
145,2018-10-25 08:44:00,P08 Ramen,118,266,True,2018-10-25
146,2018-10-25 08:44:00,P02 Reep,336,470,True,2018-10-25
147,2018-10-25 08:59:00,P07 Sint-Michiels,319,450,True,2018-10-25
148,2018-10-25 08:57:00,P10 Sint-Pietersplein,590,708,True,2018-10-25
149,2018-10-25 08:59:00,P01 Vrijdagmarkt,511,647,True,2018-10-25
150,2018-10-25 08:59:00,P04 Savaanstraat,404,540,True,2018-10-25
151,2018-10-25 08:58:00,P08 Ramen,107,266,True,2018-10-25
152,2018-10-25 08:59:00,P02 Reep,320,470,True,2018-10-25
153,2018-10-25 09:13:00,P07 Sint-Michiels,316,450,True,2018-10-25
154,2018-10-25 09:14:00,P10 Sint-Pietersplein,471,708,True,2018-10-25
155,2018-10-25 09:14:00,P01 Vrijdagmarkt,497,647,True,2018-10-25
156,2018-10-25 09:11:00,P04 Savaanstraat,378,540,True,2018-10-25
157,2018-10-25 09:13:00,P08 Ramen,101,266,True,2018-10-25
158,2018-10-25 09:14:00,P02 Reep,302,470,True,2018-10-25
159,2018-10-25 09:28:00,P07 Sint-Michiels,304,450,True,2018-10-25
160,2018-10-25 09:29:00,P10 Sint-Pietersplein,462,708,True,2018-10-25
161,2018-10-25 09:29:00,P01 Vrijdagmarkt,475,647,True,2018-10-25
162,2018-10-25 09:28:00,P04 Savaanstraat,364,540,True,2018-10-25
163,2018-10-25 09:28:00,P08 Ramen,95,266,True,2018-10-25
164,2018-10-25 09:29:00,P02 Reep,285,470,True,2018-10-25
165,2018-10-25 09:44:00,P07 Sint-Michiels,291,450,True,2018-10-25
166,2018-10-25 09:43:00,P10 Sint-Pietersplein,459,708,True,2018-10-25
167,2018-10-25 09:44:00,P01 Vrijdagmarkt,467,647,True,2018-10-25
168,2018-10-25 09:44:00,P04 Savaanstraat,357,540,True,2018-10-25
169,2018-10-25 09:44:00,P08 Ramen,85,266,True,2018-10-25
170,2018-10-25 09:44:00,P02 Reep,270,470,True,2018-10-25
171,2018-10-25 09:59:00,P07 Sint-Michiels,286,450,True,2018-10-25
172,2018-10-25 09:57:00,P10 Sint-Pietersplein,440,708,True,2018-10-25
173,2018-10-25 09:59:00,P01 Vrijdagmarkt,450,647,True,2018-10-25
174,2018-10-25 09:58:00,P04 Savaanstraat,353,540,True,2018-10-25
175,2018-10-25 09:53:00,P08 Ramen,86,266,True,2018-10-25
176,2018-10-25 09:56:00,P02 Reep,262,470,True,2018-10-25
177,2018-10-25 10:14:00,P07 Sint-Michiels,274,450,True,2018-10-25
178,2018-10-25 10:14:00,P10 Sint-Pietersplein,433,708,True,2018-10-25
179,2018-10-25 10:14:00,P01 Vrijdagmarkt,425,647,True,2018-10-25
180,2018-10-25 10:11:00,P04 Savaanstraat,348,540,True,2018-10-25
181,2018-10-25 10:14:00,P08 Ramen,83,266,True,2018-10-25
182,2018-10-25 10:14:00,P02 Reep,259,470,True,2018-10-25
183,2018-10-25 10:29:00,P07 Sint-Michiels,256,450,True,2018-10-25
184,2018-10-25 10:25:00,P10 Sint-Pietersplein,430,708,True,2018-10-25
185,2018-10-25 10:28:00,P01 Vrijdagmarkt,400,647,True,2018-10-25
186,2018-10-25 10:29:00,P04 Savaanstraat,341,540,True,2018-10-25
187,2018-10-25 10:26:00,P08 Ramen,81,266,True,2018-10-25
188,2018-10-25 10:25:00,P02 Reep,257,470,True,2018-10-25
189,2018-10-25 10:44:00,P07 Sint-Michiels,243,450,True,2018-10-25
190,2018-10-25 10:44:00,P10 Sint-Pietersplein,428,708,True,2018-10-25
191,2018-10-25 10:44:00,P01 Vrijdagmarkt,384,647,True,2018-10-25
192,2018-10-25 10:40:00,P04 Savaanstraat,339,540,True,2018-10-25
193,2018-10-25 10:42:00,P08 Ramen,77,266,True,2018-10-25
194,2018-10-25 10:44:00,P02 Reep,243,470,True,2018-10-25
195,2018-10-25 10:59:00,P07 Sint-Michiels,244,450,True,2018-10-25
196,2018-10-25 10:58:00,P10 Sint-Pietersplein,422,708,True,2018-10-25
197,2018-10-25 10:57:00,P01 Vrijdagmarkt,362,647,True,2018-10-25
198,2018-10-25 10:59:00,P04 Savaanstraat,337,540,True,2018-10-25
199,2018-10-25 10:59:00,P08 Ramen,76,266,True,2018-10-25
200,2018-10-25 10:57:00,P02 Reep,240,470,True,2018-10-25
201,2018-10-25 11:11:00,P07 Sint-Michiels,222,450,True,2018-10-25
202,2018-10-25 11:11:00,P10 Sint-Pietersplein,415,708,True,2018-10-25
203,2018-10-25 11:14:00,P01 Vrijdagmarkt,361,647,True,2018-10-25
204,2018-10-25 11:13:00,P04 Savaanstraat,335,540,True,2018-10-25
205,2018-10-25 11:13:00,P08 Ramen,76,266,True,2018-10-25
206,2018-10-25 11:13:00,P02 Reep,227,470,True,2018-10-25
207,2018-10-25 11:28:00,P07 Sint-Michiels,205,450,True,2018-10-25
208,2018-10-25 11:29:00,P10 Sint-Pietersplein,413,708,True,2018-10-25
209,2018-10-25 11:29:00,P01 Vrijdagmarkt,354,647,True,2018-10-25
210,2018-10-25 11:28:00,P04 Savaanstraat,337,540,True,2018-10-25
211,2018-10-25 11:29:00,P08 Ramen,76,266,True,2018-10-25
212,2018-10-25 11:29:00,P02 Reep,229,470,True,2018-10-25
213,2018-10-25 11:44:00,P07 Sint-Michiels,198,450,True,2018-10-25
214,2018-10-25 11:43:00,P10 Sint-Pietersplein,410,708,True,2018-10-25
215,2018-10-25 11:44:00,P01 Vrijdagmarkt,326,647,True,2018-10-25
216,2018-10-25 11:43:00,P04 Savaanstraat,341,540,True,2018-10-25
217,2018-10-25 11:44:00,P08 Ramen,72,266,True,2018-10-25
218,2018-10-25 11:43:00,P02 Reep,222,470,True,2018-10-25
219,2018-10-25 11:59:00,P07 Sint-Michiels,196,450,True,2018-10-25
220,2018-10-25 11:57:00,P10 Sint-Pietersplein,412,708,True,2018-10-25
221,2018-10-25 11:59:00,P01 Vrijdagmarkt,314,647,True,2018-10-25
222,2018-10-25 11:59:00,P04 Savaanstraat,341,540,True,2018-10-25
223,2018-10-25 11:57:00,P08 Ramen,70,266,True,2018-10-25
224,2018-10-25 11:56:00,P02 Reep,217,470,True,2018-10-25
225,2018-10-25 12:14:00,P07 Sint-Michiels,182,450,True,2018-10-25
226,2018-10-25 12:14:00,P10 Sint-Pietersplein,358,708,True,2018-10-25
227,2018-10-25 12:14:00,P01 Vrijdagmarkt,307,647,True,2018-10-25
228,2018-10-25 12:13:00,P04 Savaanstraat,334,540,True,2018-10-25
229,2018-10-25 12:14:00,P08 Ramen,70,266,True,2018-10-25
230,2018-10-25 12:12:00,P02 Reep,219,470,True,2018-10-25
231,2018-10-25 12:29:00,P07 Sint-Michiels,162,450,True,2018-10-25
232,2018-10-25 12:27:00,P10 Sint-Pietersplein,359,708,True,2018-10-25
233,2018-10-25 12:29:00,P01 Vrijdagmarkt,288,647,True,2018-10-25
234,2018-10-25 12:28:00,P04 Savaanstraat,337,540,True,2018-10-25
235,2018-10-25 12:26:00,P08 Ramen,69,266,True,2018-10-25
236,2018-10-25 12:25:00,P02 Reep,215,470,True,2018-10-25
237,2018-10-25 12:44:00,P07 Sint-Michiels,150,450,True,2018-10-25
238,2018-10-25 12:44:00,P10 Sint-Pietersplein,346,708,True,2018-10-25
239,2018-10-25 12:42:00,P01 Vrijdagmarkt,288,647,True,2018-10-25
240,2018-10-25 12:43:00,P04 Savaanstraat,328,540,True,2018-10-25
241,2018-10-25 12:42:00,P08 Ramen,65,266,True,2018-10-25
242,2018-10-25 12:44:00,P02 Reep,204,470,True,2018-10-25
243,2018-10-25 12:59:00,P07 Sint-Michiels,139,450,True,2018-10-25
244,2018-10-25 12:59:00,P10 Sint-Pietersplein,333,708,True,2018-10-25
245,2018-10-25 12:58:00,P01 Vrijdagmarkt,282,647,True,2018-10-25
246,2018-10-25 12:59:00,P04 Savaanstraat,314,540,True,2018-10-25
247,2018-10-25 12:59:00,P08 Ramen,63,266,True,2018-10-25
248,2018-10-25 12:58:00,P02 Reep,195,470,True,2018-10-25
249,2018-10-25 13:14:00,P07 Sint-Michiels,141,450,True,2018-10-25
250,2018-10-25 13:14:00,P10 Sint-Pietersplein,327,708,True,2018-10-25
251,2018-10-25 13:14:00,P01 Vrijdagmarkt,279,647,True,2018-10-25
252,2018-10-25 13:14:00,P04 Savaanstraat,308,540,True,2018-10-25
253,2018-10-25 13:14:00,P08 Ramen,62,266,True,2018-10-25
254,2018-10-25 13:13:00,P02 Reep,183,470,True,2018-10-25
255,2018-10-25 13:29:00,P07 Sint-Michiels,140,450,True,2018-10-25
256,2018-10-25 13:29:00,P10 Sint-Pietersplein,324,708,True,2018-10-25
257,2018-10-25 13:29:00,P01 Vrijdagmarkt,281,647,True,2018-10-25
258,2018-10-25 13:29:00,P04 Savaanstraat,311,540,True,2018-10-25
259,2018-10-25 13:29:00,P08 Ramen,52,266,True,2018-10-25
260,2018-10-25 13:29:00,P02 Reep,174,470,True,2018-10-25
261,2018-10-25 13:44:00,P07 Sint-Michiels,140,450,True,2018-10-25
262,2018-10-25 13:44:00,P10 Sint-Pietersplein,319,708,True,2018-10-25
263,2018-10-25 13:43:00,P01 Vrijdagmarkt,273,647,True,2018-10-25
264,2018-10-25 13:43:00,P04 Savaanstraat,304,540,True,2018-10-25
265,2018-10-25 13:43:00,P08 Ramen,47,266,True,2018-10-25
266,2018-10-25 13:44:00,P02 Reep,169,470,True,2018-10-25
267,2018-10-25 13:58:00,P07 Sint-Michiels,137,450,True,2018-10-25
268,2018-10-25 13:59:00,P10 Sint-Pietersplein,315,708,True,2018-10-25
269,2018-10-25 13:59:00,P01 Vrijdagmarkt,270,647,True,2018-10-25
270,2018-10-25 13:59:00,P04 Savaanstraat,308,540,True,2018-10-25
271,2018-10-25 13:59:00,P08 Ramen,42,266,True,2018-10-25
272,2018-10-25 13:56:00,P02 Reep,166,470,True,2018-10-25
273,2018-10-25 14:14:00,P07 Sint-Michiels,135,450,True,2018-10-25
274,2018-10-25 14:14:00,P10 Sint-Pietersplein,317,708,True,2018-10-25
275,2018-10-25 14:14:00,P01 Vrijdagmarkt,269,647,True,2018-10-25
276,2018-10-25 14:14:00,P04 Savaanstraat,307,540,True,2018-10-25
277,2018-10-25 14:14:00,P08 Ramen,43,266,True,2018-10-25
278,2018-10-25 14:13:00,P02 Reep,168,470,True,2018-10-25
279,2018-10-25 14:28:00,P07 Sint-Michiels,133,450,True,2018-10-25
280,2018-10-25 14:29:00,P10 Sint-Pietersplein,323,708,True,2018-10-25
281,2018-10-25 14:28:00,P01 Vrijdagmarkt,269,647,True,2018-10-25
282,2018-10-25 14:26:00,P04 Savaanstraat,312,540,True,2018-10-25
283,2018-10-25 14:27:00,P08 Ramen,39,266,True,2018-10-25
284,2018-10-25 14:29:00,P02 Reep,174,470,True,2018-10-25
285,2018-10-25 14:44:00,P07 Sint-Michiels,136,450,True,2018-10-25
286,2018-10-25 14:44:00,P10 Sint-Pietersplein,336,708,True,2018-10-25
287,2018-10-25 14:44:00,P01 Vrijdagmarkt,265,647,True,2018-10-25
288,2018-10-25 14:44:00,P04 Savaanstraat,314,540,True,2018-10-25
289,2018-10-25 14:41:00,P08 Ramen,38,266,True,2018-10-25
290,2018-10-25 14:40:00,P02 Reep,182,470,True,2018-10-25
291,2018-10-25 14:56:00,P07 Sint-Michiels,142,450,True,2018-10-25
292,2018-10-25 14:59:00,P10 Sint-Pietersplein,335,708,True,2018-10-25
293,2018-10-25 14:58:00,P01 Vrijdagmarkt,253,647,True,2018-10-25
294,2018-10-25 14:58:00,P04 Savaanstraat,316,540,True,2018-10-25
295,2018-10-25 14:58:00,P08 Ramen,41,266,True,2018-10-25
296,2018-10-25 14:59:00,P02 Reep,189,470,True,2018-10-25
297,2018-10-25 15:14:00,P07 Sint-Michiels,134,450,True,2018-10-25
298,2018-10-25 15:14:00,P10 Sint-Pietersplein,343,708,True,2018-10-25
299,2018-10-25 15:14:00,P01 Vrijdagmarkt,263,647,True,2018-10-25
300,2018-10-25 15:12:00,P04 Savaanstraat,318,540,True,2018-10-25
301,2018-10-25 15:14:00,P08 Ramen,48,266,True,2018-10-25
302,2018-10-25 15:12:00,P02 Reep,198,470,True,2018-10-25
303,2018-10-25 15:29:00,P07 Sint-Michiels,150,450,True,2018-10-25
304,2018-10-25 15:29:00,P10 Sint-Pietersplein,340,708,True,2018-10-25
305,2018-10-25 15:29:00,P01 Vrijdagmarkt,263,647,True,2018-10-25
306,2018-10-25 15:29:00,P04 Savaanstraat,330,540,True,2018-10-25
307,2018-10-25 15:28:00,P08 Ramen,50,266,True,2018-10-25
308,2018-10-25 15:29:00,P02 Reep,195,470,True,2018-10-25
309,2018-10-25 15:44:00,P07 Sint-Michiels,165,450,True,2018-10-25
310,2018-10-25 15:44:00,P10 Sint-Pietersplein,343,708,True,2018-10-25
311,2018-10-25 15:44:00,P01 Vrijdagmarkt,268,647,True,2018-10-25
312,2018-10-25 15:43:00,P04 Savaanstraat,335,540,True,2018-10-25
313,2018-10-25 15:44:00,P08 Ramen,55,266,True,2018-10-25
314,2018-10-25 15:44:00,P02 Reep,197,470,True,2018-10-25
315,2018-10-25 15:59:00,P07 Sint-Michiels,182,450,True,2018-10-25
316,2018-10-25 15:59:00,P10 Sint-Pietersplein,353,708,True,2018-10-25
317,2018-10-25 15:58:00,P01 Vrijdagmarkt,280,647,True,2018-10-25
318,2018-10-25 15:59:00,P04 Savaanstraat,342,540,True,2018-10-25
319,2018-10-25 15:57:00,P08 Ramen,57,266,True,2018-10-25
320,2018-10-25 15:59:00,P02 Reep,191,470,True,2018-10-25
321,2018-10-25 16:14:00,P07 Sint-Michiels,189,450,True,2018-10-25
322,2018-10-25 16:14:00,P10 Sint-Pietersplein,357,708,True,2018-10-25
323,2018-10-25 16:13:00,P01 Vrijdagmarkt,300,647,True,2018-10-25
324,2018-10-25 16:14:00,P04 Savaanstraat,356,540,True,2018-10-25
325,2018-10-25 16:14:00,P08 Ramen,68,266,True,2018-10-25
326,2018-10-25 16:13:00,P02 Reep,177,470,True,2018-10-25
327,2018-10-25 16:29:00,P07 Sint-Michiels,198,450,True,2018-10-25
328,2018-10-25 16:27:00,P10 Sint-Pietersplein,374,708,True,2018-10-25
329,2018-10-25 16:27:00,P01 Vrijdagmarkt,319,647,True,2018-10-25
330,2018-10-25 16:29:00,P04 Savaanstraat,371,540,True,2018-10-25
331,2018-10-25 16:29:00,P08 Ramen,80,266,True,2018-10-25
332,2018-10-25 16:29:00,P02 Reep,174,470,True,2018-10-25
333,2018-10-25 16:44:00,P07 Sint-Michiels,213,450,True,2018-10-25
334,2018-10-25 16:44:00,P10 Sint-Pietersplein,385,708,True,2018-10-25
335,2018-10-25 16:44:00,P01 Vrijdagmarkt,336,647,True,2018-10-25
336,2018-10-25 16:44:00,P04 Savaanstraat,376,540,True,2018-10-25
337,2018-10-25 16:44:00,P08 Ramen,88,266,True,2018-10-25
338,2018-10-25 16:44:00,P02 Reep,157,470,True,2018-10-25
339,2018-10-25 16:58:00,P07 Sint-Michiels,227,450,True,2018-10-25
340,2018-10-25 16:58:00,P10 Sint-Pietersplein,404,708,True,2018-10-25
341,2018-10-25 16:58:00,P01 Vrijdagmarkt,338,647,True,2018-10-25
342,2018-10-25 16:59:00,P04 Savaanstraat,394,540,True,2018-10-25
343,2018-10-25 16:59:00,P08 Ramen,96,266,True,2018-10-25
344,2018-10-25 16:59:00,P02 Reep,151,470,True,2018-10-25
345,2018-10-25 17:14:00,P07 Sint-Michiels,239,450,True,2018-10-25
346,2018-10-25 17:13:00,P10 Sint-Pietersplein,411,708,True,2018-10-25
347,2018-10-25 17:14:00,P01 Vrijdagmarkt,353,647,True,2018-10-25
348,2018-10-25 17:14:00,P04 Savaanstraat,409,540,True,2018-10-25
349,2018-10-25 17:14:00,P08 Ramen,106,266,True,2018-10-25
350,2018-10-25 17:14:00,P02 Reep,149,470,True,2018-10-25
351,2018-10-25 17:29:00,P07 Sint-Michiels,239,450,True,2018-10-25
352,2018-10-25 17:29:00,P10 Sint-Pietersplein,422,708,True,2018-10-25
353,2018-10-25 17:29:00,P01 Vrijdagmarkt,361,647,True,2018-10-25
354,2018-10-25 17:27:00,P04 Savaanstraat,416,540,True,2018-10-25
355,2018-10-25 17:29:00,P08 Ramen,116,266,True,2018-10-25
